Lineup,Plus_Minus
"WITHERINGTON EDWARD, STEVENS SAM, BRENNAN DAVID, RAMEY SAWYER, URENA OLIVER",4
"WITHERINGTON EDWARD, STEVENS SAM, BRENNAN DAVID, RAMEY SAWYER, CWALINA KUBA",4
"WITHERINGTON EDWARD, STEVENS SAM, NEWELL MARK, RAMEY SAWYER, CWALINA KUBA",1
"WITHERINGTON EDWARD, MURRAY IAN, NEWELL MARK, RAMEY SAWYER, CWALINA KUBA",1
"MCKERSIE JACKSON, MURRAY IAN, NEWELL MARK, RAMEY SAWYER, CWALINA KUBA",1
"MCKERSIE JACKSON, MURRAY IAN, NEWELL MARK, URENA OLIVER, CWALINA KUBA",1
"MCKERSIE JACKSON, MURRAY IAN, BRENNAN DAVID, URENA OLIVER, STEVENS SAM",-1
"MCKERSIE JACKSON, RAMEY SAWYER, BRENNAN DAVID, URENA OLIVER, STEVENS SAM",-2
"WITHERINGTON EDWARD, RAMEY SAWYER, BRENNAN DAVID, URENA OLIVER, STEVENS SAM",0
"WITHERINGTON EDWARD, RAMEY SAWYER, BRENNAN DAVID, CWALINA KUBA, STEVENS SAM",-1
"WITHERINGTON EDWARD, MURRAY IAN, NEWELL MARK, CWALINA KUBA, STEVENS SAM",-3
"WITHERINGTON EDWARD, MURRAY IAN, NEWELL MARK, CWALINA KUBA, ALBERTS MAXWELL",-3
"WITHERINGTON EDWARD, MURRAY IAN, NEWELL MARK, STEVENS SAM, ALBERTS MAXWELL",-5
"WITHERINGTON EDWARD, CWALINA KUBA, RAMEY SAWYER, BRENNAN DAVID, ALBERTS MAXWELL",-1
"WITHERINGTON EDWARD, CWALINA KUBA, RAMEY SAWYER, BRENNAN DAVID, STEVENS SAM",3
"WITHERINGTON EDWARD, CWALINA KUBA, RAMEY SAWYER, NEWELL MARK, STEVENS SAM",2
