Team,Lineup,Against,Points,Rebounds_Off,Rebounds_Def,Rebounds_Total,Assists,Steals,Blocks,Turnovers,Fouls,FG_Made,FG_Attempted,FG_Pct,3PT_Made,3PT_Attempted,3PT_Pct,FT_Made,FT_Attempted,FT_Pct,ShotsInPaint_Made,ShotsInPaint_Attempted,PointsInPaint,Fastbreak_Made,Fastbreak_Attempted,FastbreakPoints
"Rochester (N.Y.)","ADETOSOYE TOMIWA, ODIBO JUSTIN, OPREA CORVIN, RAZI LUKE, MAYHEW JOHN","Middlebury","2",0,1,1,0,0,0,0,3,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,0,0
"Rochester (N.Y.)","ADETOSOYE TOMIWA, ODIBO JUSTIN, OPREA CORVIN, RAZI LUKE, HENDERSON SAM","Middlebury","10",0,1,1,0,0,0,0,1,4,5,80.0,2,3,66.7,0,0,0.0,2,2,4,0,0,0
"Rochester (N.Y.)","ADETOSOYE TOMIWA, ODIBO JUSTIN, OWUSU JORDAN, MURRAY THEO, HENDERSON SAM","Middlebury","4",1,3,4,0,0,1,0,0,1,3,33.3,0,0,0.0,2,3,66.7,1,1,2,0,0,0
"Rochester (N.Y.)","JR BERNARD DUSHIE, OPREA CORVIN, OWUSU JORDAN, MURRAY THEO, RAZI LUKE","Middlebury","0",0,0,0,0,0,0,0,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
"Rochester (N.Y.)","JR BERNARD DUSHIE, OPREA CORVIN, OWUSU JORDAN, YOUNG MJ, RAZI LUKE","Middlebury","3",0,1,1,1,0,0,2,1,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,0,0,0
"Rochester (N.Y.)","ODIBO JUSTIN, OPREA CORVIN, HENDERSON SAM, ADETOSOYE TOMIWA, RAZI LUKE","Middlebury","0",0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0
"Rochester (N.Y.)","ODIBO JUSTIN, OPREA CORVIN, HENDERSON SAM, ADETOSOYE TOMIWA, YOUNG MJ","Middlebury","3",3,0,3,1,1,0,0,1,1,5,20.0,0,2,0.0,1,1,100.0,1,1,2,0,0,0
"Rochester (N.Y.)","ODIBO JUSTIN, OPREA CORVIN, MAYHEW JOHN, ADETOSOYE TOMIWA, RAZI LUKE","Middlebury","2",0,1,1,0,0,0,1,0,1,3,33.3,0,0,0.0,0,0,0.0,1,1,2,0,0,0
"Rochester (N.Y.)","MURRAY THEO, OPREA CORVIN, MAYHEW JOHN, OWUSU JORDAN, RAZI LUKE","Middlebury","5",1,0,1,0,0,0,1,0,2,5,40.0,0,0,0.0,1,1,100.0,2,2,4,0,0,0
"Rochester (N.Y.)","ODIBO JUSTIN, OPREA CORVIN, HENDERSON SAM, OWUSU JORDAN, RAZI LUKE","Middlebury","0",0,0,0,0,0,0,0,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0
